symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ONEUSDT,-0.00062000,-3.713,0.01629298,0.01671000,0.01608000,69554.80000000,0.01607000,56539.00000000,0.01608000,181029.10000000,0.01670000,0.01677000,0.01588000,88208659.40000000,1437181.87059300,1684624063463,1684710463463,103147429,103158265,10837
COCOSUSDT,-0.00010000,-0.006,1.70082831,1.68210000,1.68270000,107.00000000,1.68200000,118.00000000,1.68250000,279.00000000,1.68280000,1.73730000,1.66000000,5638274.00000000,9589736.01630000,1684624089690,1684710489690,48244480,48290373,45894
PAXGUSDT,-4.00000000,-0.201,1992.11062119,1993.00000000,1989.00000000,0.09150000,1989.00000000,1.12790000,1990.00000000,2.97820000,1993.00000000,1998.00000000,1986.00000000,350.42110000,698077.59520000,1684624152359,1684710552359,8644267,8646576,2310
MINAUSDT,-0.01200000,-2.065,0.57799005,0.58100000,0.56900000,2786.40000000,0.56900000,17042.50000000,0.57000000,53888.70000000,0.58100000,0.59200000,0.56200000,4752632.10000000,2746974.04760000,1684624234978,1684710634978,31467381,31478723,11343
IDUSDT,-0.01181000,-2.442,0.48089584,0.48366000,0.47185000,903.00000000,0.47183000,95.00000000,0.47188000,225.00000000,0.48366000,0.49744000,0.46159000,35352033.00000000,17000645.75222000,1684624305452,1684710705452,15559179,15638979,79801
STORJUSDT,-0.01090000,-3.449,0.30825178,0.31590000,0.30510000,1111.00000000,0.30510000,450.00000000,0.30520000,390.00000000,0.31600000,0.31750000,0.30180000,1465312.00000000,451685.03600000,1684624135346,1684710535346,39262493,39265542,3050
TRXUSDT,0.00267000,3.688,0.07461037,0.07240000,0.07506000,2298.40000000,0.07505000,174494.60000000,0.07506000,96250.00000000,0.07239000,0.07730000,0.07199000,591941687.20000000,44164989.62020600,1684624062210,1684710462210,242285957,242451414,165458
WAVESUSDT,-0.02900000,-1.742,1.64045020,1.66400000,1.63600000,238.50000000,1.63600000,7273.47000000,1.63700000,30.44000000,1.66500000,1.67100000,1.60800000,770248.87000000,1263554.91630000,1684624069529,1684710469529,86690865,86698641,7777
IOTXUSDT,-0.00007000,-0.307,0.02271112,0.02280000,0.02274000,939.00000000,0.02273000,66358.00000000,0.02274000,23049.00000000,0.02281000,0.02308000,0.02234000,36141381.00000000,820811.07971000,1684624104137,1684710504137,61213670,61219166,5497
BCHDOWNUSDT,0.00000000,0.000,0.00000000,0.22470000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681651143185,1681737543185,-1,-1,0
XECUSDT,-0.00000052,-1.979,0.00002589,0.00002627,0.00002576,10159500.00,0.00002577,299464233.00,0.00002578,6967907.00,0.00002628,0.00002636,0.00002548,15879066373.00,411074.33141292,1684624237822,1684710637822,28652109,28655885,3777
CKBUSDT,-0.00009000,-2.655,0.00331707,0.00338000,0.00330000,194762.00000000,0.00329000,4925481.00000000,0.00330000,2817703.00000000,0.00339000,0.00341000,0.00324000,184994123.00000000,613638.22734000,1684624200999,1684710600999,24001925,24005235,3311
RDNTUSDT,-0.00710000,-2.279,0.30736823,0.31140000,0.30440000,739.00000000,0.30440000,10131.00000000,0.30450000,95.00000000,0.31150000,0.31240000,0.30080000,10023969.00000000,3081049.63880000,1684624293504,1684710693504,3364909,3375532,10624
TLMUSDT,-0.00057000,-3.434,0.01618774,0.01660000,0.01603000,1337.00000000,0.01603000,101845.00000000,0.01604000,296936.00000000,0.01660000,0.01664000,0.01582000,35262585.00000000,570821.42691000,1684624210497,1684710610497,74743941,74748996,5056
USTCUSDT,-0.00040189,-2.661,0.01493368,0.01508741,0.01470243,4987.00000000,0.01470243,9351.00000000,0.01471086,7323.00000000,0.01510432,0.01530000,0.01453506,85869594.00000000,1282349.27377532,1684624301414,1684710701414,1038196,1044644,6449
